* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 2:58:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DeltaSE 50 -12 - yeni
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
262.207051	71.349	-165.0654
262.573262	71.357	-168.1790
262.939473	71.366	-171.3674
263.305684	71.378	-174.6299
263.671895	71.393	-177.9651
264.038106	71.409	178.6279
264.404317	71.428	175.1506
264.770528	71.450	171.6050
265.136739	71.474	167.9927
265.502950	71.501	164.3157
265.869161	71.531	160.5764
266.235372	71.563	156.7771
266.601583	71.599	152.9204
266.967794	71.638	149.0093
267.334004	71.680	145.0464
267.700215	71.725	141.0349
268.066426	71.773	136.9780
268.432637	71.825	132.8789
268.798848	71.880	128.7415
269.165059	71.938	124.5688
269.531270	72.000	120.3645
269.897481	72.065	116.1323
270.263692	72.133	111.8757
270.629903	72.205	107.5986
270.996114	72.281	103.3042
271.362325	72.359	98.9963
271.728536	72.441	94.6782
272.094747	72.525	90.3533
272.460958	72.613	86.0247
272.827169	72.704	81.6956
273.193380	72.797	77.3689
273.559591	72.893	73.0474
273.925802	72.991	68.7336
274.292013	73.092	64.4297
274.658224	73.195	60.1382
275.024435	73.300	55.8608
275.390646	73.406	51.5991
275.756857	73.514	47.3547
276.123068	73.624	43.1287
276.489279	73.734	38.9221
276.855490	73.846	34.7354
277.221701	73.958	30.5696
277.587912	74.071	26.4246
277.954123	74.184	22.3003
278.320334	74.297	18.1970
278.686544	74.410	14.1143
279.052755	74.523	10.0515
279.418966	74.636	6.0078
279.785177	74.748	1.9827
280.151388	74.859	-2.0249
280.517599	74.969	-6.0161
280.883810	75.079	-9.9919
281.250021	75.186	-13.9541
281.616232	75.293	-17.9033
281.982443	75.398	-21.8413
282.348654	75.501	-25.7695
