* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 12:35:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Charlie3 50 -12
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
275.390646	73.760	-87.6980
275.756857	73.839	-91.9595
276.123068	73.920	-96.1960
276.489279	74.002	-100.4082
276.855490	74.084	-104.5967
277.221701	74.167	-108.7627
277.587912	74.250	-112.9072
277.954123	74.334	-117.0320
278.320334	74.417	-121.1384
278.686544	74.501	-125.2288
279.052755	74.584	-129.3044
279.418966	74.667	-133.3684
279.785177	74.750	-137.4224
280.151388	74.832	-141.4695
280.517599	74.913	-145.5120
280.883810	74.993	-149.5527
281.250021	75.071	-153.5945
281.616232	75.149	-157.6401
281.982443	75.225	-161.6929
282.348654	75.299	-165.7551
282.714865	75.372	-169.8306
283.081076	75.443	-173.9216
283.447287	75.512	-178.0312
283.813498	75.579	177.8372
284.179709	75.643	173.6812
284.545920	75.706	169.4978
284.912131	75.765	165.2839
285.278342	75.823	161.0376
285.644553	75.878	156.7556
286.010764	75.930	152.4355
286.376975	75.979	148.0752
286.743186	76.025	143.6719
287.109397	76.069	139.2239
287.475608	76.109	134.7288
287.841819	76.147	130.1846
288.208030	76.181	125.5894
288.574241	76.213	120.9417
288.940452	76.241	116.2395
289.306663	76.266	111.4817
289.672873	76.288	106.6665
290.039084	76.307	101.7927
290.405295	76.322	96.8594
290.771506	76.334	91.8652
291.137717	76.343	86.8091
291.503928	76.349	81.6907
291.870139	76.352	76.5088
292.236350	76.352	71.2632
292.602561	76.348	65.9531
292.968772	76.342	60.5779
293.334983	76.332	55.1379
293.701194	76.320	49.6326
294.067405	76.304	44.0620
294.433616	76.286	38.4263
294.799827	76.265	32.7253
295.166038	76.241	26.9597
295.532249	76.215	21.1294
295.898460	76.186	15.2351
296.264671	76.155	9.2776
296.630882	76.121	3.2573
296.997093	76.085	-2.8247
297.363304	76.047	-8.9675
297.729515	76.007	-15.1702
298.095726	75.965	-21.4314
298.461937	75.921	-27.7500
298.828148	75.876	-34.1248
299.194359	75.829	-40.5535
299.560570	75.781	-47.0352
299.926781	75.732	-53.5679
300.292992	75.681	-60.1497
300.659203	75.630	-66.7783
301.025413	75.578	-73.4521
301.391624	75.525	-80.1685
301.757835	75.472	-86.9253
302.124046	75.419	-93.7200
302.490257	75.366	-100.5500
302.856468	75.312	-107.4128
303.222679	75.260	-114.3057
303.588890	75.207	-121.2256
303.955101	75.156	-128.1694
304.321312	75.105	-135.1345
304.687523	75.055	-142.1177
305.053734	75.007	-149.1155
305.419945	74.960	-156.1250
305.786156	74.915	-163.1431
306.152367	74.871	-170.1660
306.518578	74.830	-177.1904
306.884789	74.790	175.7866
307.251000	74.753	168.7688
307.617211	74.718	161.7595
307.983422	74.686	154.7622
308.349633	74.656	147.7800
308.715844	74.629	140.8167
309.082055	74.605	133.8750
309.448266	74.584	126.9585
309.814477	74.566	120.0706
310.180688	74.551	113.2139
310.546899	74.540	106.3916
310.913110	74.531	99.6069
311.279321	74.525	92.8623
311.645532	74.523	86.1604
312.011743	74.523	79.5044
312.377953	74.527	72.8962
312.744164	74.533	66.3381
313.110375	74.543	59.8323
313.476586	74.555	53.3811
313.842797	74.570	46.9858
314.209008	74.587	40.6489
314.575219	74.608	34.3711
314.941430	74.630	28.1543
315.307641	74.655	21.9998
315.673852	74.681	15.9080
316.040063	74.710	9.8806
316.406274	74.741	3.9177
316.772485	74.773	-1.9797
317.138696	74.807	-7.8113
317.504907	74.842	-13.5769
317.871118	74.878	-19.2764
318.237329	74.915	-24.9094
318.603540	74.953	-30.4763
318.969751	74.992	-35.9775
319.335962	75.031	-41.4133
319.702173	75.071	-46.7842
320.068384	75.111	-52.0908
320.434595	75.152	-57.3337
320.800806	75.192	-62.5137
321.167017	75.233	-67.6318
321.533228	75.273	-72.6892
321.899439	75.313	-77.6868
322.265650	75.352	-82.6257
322.631861	75.391	-87.5073
322.998072	75.430	-92.3328
323.364282	75.467	-97.1033
323.730493	75.504	-101.8208
324.096704	75.541	-106.4866
324.462915	75.576	-111.1018
324.829126	75.611	-115.6685
325.195337	75.644	-120.1882
325.561548	75.677	-124.6624
325.927759	75.708	-129.0928
326.293970	75.739	-133.4812
326.660181	75.768	-137.8293
327.026392	75.796	-142.1392
327.392603	75.823	-146.4121
327.758814	75.849	-150.6499
328.125025	75.874	-154.8547
328.491236	75.897	-159.0283
328.857447	75.919	-163.1721
329.223658	75.940	-167.2881
329.589869	75.960	-171.3782
329.956080	75.978	-175.4438
330.322291	75.995	-179.4871
330.688502	76.011	176.4907
331.054713	76.025	172.4875
331.420924	76.038	168.5022
331.787135	76.050	164.5330
332.153346	76.061	160.5781
332.519557	76.070	156.6365
332.885768	76.077	152.7068
333.251979	76.084	148.7874
333.618190	76.089	144.8770
333.984401	76.092	140.9749
334.350612	76.095	137.0796
334.716822	76.096	133.1904
335.083033	76.095	129.3062
335.449244	76.093	125.4263
335.815455	76.090	121.5498
336.181666	76.085	117.6765
336.547877	76.078	113.8054
336.914088	76.071	109.9365
337.280299	76.062	106.0693
337.646510	76.051	102.2036
338.012721	76.039	98.3391
338.378932	76.025	94.4763
338.745143	76.010	90.6147
339.111354	75.994	86.7551
339.477565	75.976	82.8972
339.843776	75.956	79.0420
340.209987	75.935	75.1895
340.576198	75.913	71.3403
340.942409	75.889	67.4954
341.308620	75.864	63.6553
341.674831	75.837	59.8208
342.041042	75.809	55.9932
342.407253	75.779	52.1731
342.773464	75.748	48.3616
343.139675	75.716	44.5601
343.505886	75.683	40.7698
343.872097	75.648	36.9915
344.238308	75.612	33.2271
344.604519	75.575	29.4775
344.970730	75.536	25.7444
345.336941	75.497	22.0291
345.703151	75.456	18.3333
346.069362	75.414	14.6580
346.435573	75.371	11.0051
